city_code
cubry les faverney
dambenoit les colombe
fontenois la ville
noidans les vesoul
noroy le bourg
villars le pautel
villers les luxeuil
vy les rupt
chenay le chatel
collonge la madeleine
farges les chalon
fragnes la loyere
martailly les brancion
montceau les mines
paray le monial
varennes le grand
autrey les gray
autrey le vay
cerre les noroy
chambornay les bellevaux
chaux les port
dampvalley les colombe
fahy les autrey
frotey les lure
granges le bourg
luxeuil les bains
montigny les vesoul
mont le vernois
neuvelle les cromary
noidans le ferroux
passavant la rochere
percey le grand
sauvigney les gray
vallerois le bois
charnay les chalon
charnay les macon
chatenoy le royal
cheilly les maranges
sampigny les maranges
sennecey le grand
varennes les macon
abergement le grand
baume les messieurs
clairvaux les lacs
foncine le bas
menetru le vignoble
montagna le reconduit
toulouse le chateau
villers les bois
abergement le petit
abergement les thesy
baume les messieurs
chilly le vignoble
frasne les meulieres
lavans les dole
salins les bains
septmoncel les molunes
bleigny le carreau
bussy le repos
villette les dole
coulanges la vineuse
fontaine la gaillarde
mailly la ville
villiers les hauts
feche l eglise
ancy le libre
cruzy le chatel
egriselles le bocage
epineau les voves
fleury la vallee
joux la ville
mailly le chateau
malay le grand
merry la vallee
quarre les tombes
villeneuve l archeveque
chavannes les grands
ancy le franc
etais la sauvin
foissy les vezelay
montigny la resle
sauvigny le beureal
sennevoy le haut
villeneuve les genets
chatenois les forges
rougemont le chateau
portes les valence
villebois les pins
bourg les valence
montferrand la fare
montreal les sources
virieu le grand
berre les alpes
ressons le long
sancy les cheminots
castellet les sausses
vaulnaveys le haut
chonas l amballan
montrond les bains
freycenet la tour
boisset les montrond
grezieux le fromental
barriac les bosquets
frugeres les mines
ars les favets
auzat la combelle
charbonnier les mines
charbonnieres les varennes
charbonnieres les vieilles
chateauneuf les bains
condat les montboissier
dore l eglise
perignat les sarlieve
saulzet le froid
alba la romaine
cheignieu la balme
vernosc les annonay
roquefort les pins
colombier le cardinal
colombier le vieux
teissieres les boulies
anzat le luguet
beaumont les randan
beauregard l eveque
bort l etang
champagnat le jeune
charbonnieres les varennes
heume l eglise
montaigut le blanc
vic le comte
vic le comte
villeneuve les cerfs
ternant les eaux
blot l eglise
chanat la mouteyre
chaumont le bourg
cisternes la foret
sonthonnax la montagne
sonthonnax la montagne
charbonnieres les bains
marcy l etoile
meaux la montagne
sourcieux les mines
rillieux la pape
poule les echarmeaux
thizy les bourgs
chatuzange le goubet
piegros la clastre
vaunaveys la rochette
villefranche le chateau
granges les beaumont
aiguebelette le lac
aillon le vieux
aime la plagne
aime la plagne
aime la plagne
albiez le jeune
challes les eaux
fontcouverte la toussuire
lepin le lac
allonzier la caille
araches la frasse
chainaz les frasses
evian les bains
aime la plagne
aime la plagne
thonon les bains
villy le pelloux
valgelon la rochette
araches la frasse
auriac l eglise
segur les villas
aix la fayette
auzat la combelle
brassac les mines
fayet le chateau
murat le quaire
yssac la tourette
miribel les echelles
vaulnaveys le bas
poule les echarmeaux
pouilly les feurs
pouilly les nonains
roche la moliere
sail les bains
rillieux la pape
champagnac le vieux
freycenet la cuche
chantemerle les bles
chantemerle les grignan
sanssac l eglise
fay le clos
montbrun les bains
tain l hermitage
beaumont les valence
buis les baronnies
chatuzange le goubet
thizy les bourgs
thizy les bourgs
izon la bruisse
merindol les oliviers
pennes le sec
rousset les vignes
suze la rousse
vaunaveys la rochette
brides les bains
fontcouverte la toussuire
pralognan la vanoise
ville la grand
viuz la chiesaz
aillon le jeune
aime la plagne
aix les bains
grezieu la varenne
grezieu le marche
thizy les bourgs
thizy les bourgs
montagny les lanches
thollon les memises
thonon les bains
entremont le vieux
valgelon la rochette
allonzier la caille
araches la frasse
villy le bouveret
cognin les gorges
meyrieu les etangs
vaulnaveys le haut
chalain le comtal
ecotay l olme
marcilly le chatel
thelis la combe
frugieres le pin
sury le comtal
bellevue la montagne
vals le chastel
berengeville la campagne
bezu la foret
crosville la vieille
illiers l eveque
marcilly la campagne
amfreville les champs
angerville la campagne
champigny la futelaye
montreal la cluse
daubeuf la campagne
ecardenville la campagne
lyons la foret
montreuil l argille
romilly la puthenaye
isigny le buat
isigny le buat
juvigny les vallees
marigny le lozon
marigny le lozon
montaigu la brisette
muneville le bingard
ugny le gay
veuilly la poterie
savigny le vieux
challes la montagne
cartigny l epinay
courtonne la meurdrac
culey le patry
douvres la delivrande
noron l abbaye
noron la poterie
ouilly le tesson
pont l eveque
arromanches les bains
bonneville la louvet
cormelles le royal
englesqueville la percee
fierville les parcs
fourneaux le val
fresney le puceux
fresney le vieux
manneville la pipard
ecouche les vallees
fontaine les bassets
longny les villages
longny les villages
lonlay le tesson
putanges le lac
buais les monts
carentan les marais
carentan les marais
cherence le heron
seraucourt le grand
canville la rocque
silly la poterie
carentan les marais
cerisy la salle
ducey les cheris
isigny le buat
isigny le buat
juvigny les vallees
juvigny les vallees
marcey les greves
octeville l avenel
rauville la place
torigny les villes
torigny les villes
neuville les dames
hauteville la guichard
isigny le buat
isigny le buat
isigny le buat
juvigny les vallees
juvigny les vallees
rauville la bigot
remilly les marais
remilly les marais
remilly les marais
banneville la campagne
bretteville le rabet
cesny les sources
fontenay le pesnel
formigny la bataille
hermival les vaux
ouilly le vicomte
villons les buissons
aunay les bois
aunou le faucon
bellou le trichard
cesny les sources
cesny les sources
cesny les sources
ecouche les vallees
aubry le panthou
ecouche les vallees
ecouche les vallees
douvres la delivrande
estrees la campagne
formigny la bataille
ecouche les vallees
longny les villages
ecouche les vallees
lonlay l abbaye
ferrieres la verrerie
longny les villages
putanges le lac
longny les villages
putanges le lac
longny les villages
putanges le lac
putanges le lac
montreuil la cambe
moulins la marche
origny le roux
putanges le lac
saires la verrerie
villedieu les bailleul
boissei la lande
fresnay le samson
longny les villages
longny les villages
magny le desert
nonant le pin
putanges le lac
putanges le lac
tellieres le plessis
isigny le buat
isigny le buat
isigny le buat
juvigny les vallees
juvigny les vallees
montaigu les bois
torigny les villes
torigny les villes
sery les mezieres
fleury la foret
fontaine la louvet
gaudreville la riviere
gournay le guerin
vals les bains
pressagny l orgueilleux
sylvains les moulins
amfreville les champs
beaubec la rosiere
caudebec les elbeuf
criquetot l esneval
ectot les baons
ernemont la villette
forges les eaux
fresne le plan
baons le comte
bois l eveque
carville la folletiere
crasville la rocquefort
deville les rouen
ectot l auber
tourville la riviere
tourville les ifs
vatteville la rue
forges les eaux
hautot l auvray
hautot le vatois
malleville les gres
ouville l abbaye
quevreville la poterie
sassetot le malgarde
saumont la poterie
sotteville les rouen
ecouche les vallees
neuilly le bisson
putanges le lac
barneville la bertran
blangy le chateau
soligny la trappe
breville les monts
cesny les sources
fontaine le pin
fontenay le marmion
formigny la bataille
formigny la bataille
fresne la mere
hottot les bagues
pont l eveque
bailleul la vallee
beaumont le roger
berville la campagne
bois le roi
capelle les grands
corneville la fouquetiere
faverolles la campagne
fontaine l abbe
ivry la bataille
manneville la raoult
montreuil l argille
boisset les prevanches
boissey le chatel
sylvains les moulins
criquebeuf la campagne
gauville la campagne
nogent le sec
saussay la campagne
tourville la campagne
trouville la haule
sylvains les moulins
angerville la martel
angerville l orcher
anglesqueville l esneval
beuzeville la guerard
biville la baignarde
biville la riviere
beuzeville la bastille
buais les monts
carentan les marais
carentan les marais
criquetot le mauconduit
gatteville le phare
gonneville le theil
fontaine la mallet
fontaine le bourg
fontaine le dun
gonfreville l orcher
gonfreville l orcher
gonfreville l orcher
gonneville la mallet
morgny la pommeraye
tocqueville les murs
touffreville la corbeline
veules les roses
auberville la renault
auzouville l esneval
beaumont le hareng
beuzeville la grenier
crasville la mallet
ecretteville les baons
fresnay le long
gruchet le valasse
gueutteville les gres
manneville la goupil
sassetot le mauconduit
arques la bataille
auberville la manuel
bosc le hard
grainville la teinturiere
lintot les bois
ouville la riviere
sassetot le mauconduit
sassetot le mauconduit
torcy le grand
torcy le petit
veauville les quelles
bricqueville la blouette
carentan les marais
carentan les marais
carentan les marais
carentan les marais
carentan les marais
ducey les cheris
aucey la plaine
audouville la hubert
carentan les marais
carentan les marais
cerisy la foret
donville les bains
fierville les mines
gonneville le theil
bercheres les pierres
ermenonville la grande
tremblay les villages
tremblay les villages
bailleau l eveque
beaumont les autels
boissy les perche
louvilliers les perche
montigny le chartif
nogent le phaye
tillay le peneux
tremblay les villages
trizay les bonneval
ver les chartres
villiers le morhier
simiane la rotonde
rignieux le franc
azay le ferron
simiane la rotonde
jeu les bois
lucay le male
preuilly la ville
antogny le tillac
avon les roches
clere les pins
dun le poelier
flere la riviere
azay le rideau
beaulieu les loches
dolus le sec
villaines les rochers
oucques la nouvelle
ouzouer le doyen
beauce la romaine
beauce la romaine
beauce la romaine
boulay les barres
bouzy la foret
chatillon le roi
fontaine les coteaux
bessais le fromental
marigny les usages
jussy le chaudrier
oucques la nouvelle
pressigny les pins
vallieres les grandes
vievy le raye
sully la chapelle
villedieu le chateau
uzay le venon
ascheres le marche
courcelles le roi
ligny le ribault
simiane la rotonde
aubenas les alpes
germigny l exempt
